projectDescriptionID,envDataRawID,trapVisitID,discharge,dischargeUnitID,dischargeSampleGearID,waterVel,waterVelUnitID,waterVelSampleGearID,waterTemp,waterTempUnitID,waterTempSampleGearID,lightPenetration,lightPenetrationUnitID,lightPenetrationSampleGearID,turbidity,turbidityUnitID,turbiditySampleGearID,visitTime,visitTime2,visitTypeID,siteID,trapPositionID
2,2,3,NA,NA,NA,NA,NA,NA,8.8888893,18,251,1.3099999,2,25,NA,NA,NA,1997-12-23T00:00:00Z,1997-12-23T00:00:00Z,4,3000,3001
2,1,4,NA,NA,NA,NA,NA,NA,8.8888893,18,251,1.47,2,25,NA,NA,NA,1997-12-23T00:00:00Z,1997-12-23T00:00:00Z,4,4000,4001
2,8237,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-12-26T00:00:00Z,1997-12-26T00:00:00Z,1,3000,3001
2,3,7,NA,NA,NA,NA,NA,NA,7.7777777,18,251,2.3399999,2,25,NA,NA,NA,1997-12-27T00:00:00Z,1997-12-27T00:00:00Z,2,3000,3001
2,4,8,NA,NA,NA,NA,NA,NA,7.7777777,18,251,1.8200001,2,25,NA,NA,NA,1997-12-27T00:00:00Z,1997-12-27T00:00:00Z,2,4000,4001
2,5,9,NA,NA,NA,NA,NA,NA,8.333333,18,251,2.1099999,2,25,NA,NA,NA,1997-12-28T00:00:00Z,1997-12-28T00:00:00Z,2,3000,3001
2,6,10,NA,NA,NA,NA,NA,NA,7.7777777,18,251,1.88,2,25,NA,NA,NA,1997-12-28T00:00:00Z,1997-12-28T00:00:00Z,2,4000,4001
2,8,11,NA,NA,NA,NA,NA,NA,8.8888893,18,251,2.1700001,2,25,NA,NA,NA,1997-12-29T00:00:00Z,1997-12-29T00:00:00Z,2,3000,3001
2,7,12,NA,NA,NA,NA,NA,NA,8.333333,18,251,1.85,2,25,NA,NA,NA,1997-12-29T00:00:00Z,1997-12-29T00:00:00Z,2,4000,4001
2,9,13,NA,NA,NA,NA,NA,NA,8.333333,18,251,2.1700001,2,25,NA,NA,NA,1997-12-30T00:00:00Z,1997-12-30T00:00:00Z,2,3000,3001
2,10,14,NA,NA,NA,NA,NA,NA,8.8888893,18,251,2.03,2,25,NA,NA,NA,1997-12-30T00:00:00Z,1997-12-30T00:00:00Z,2,4000,4001
2,11,15,NA,NA,NA,NA,NA,NA,8.8888893,18,251,2.24,2,25,NA,NA,NA,1997-12-31T00:00:00Z,1997-12-31T00:00:00Z,4,3000,3001
2,12,16,NA,NA,NA,NA,NA,NA,8.8888893,18,251,1.91,2,25,NA,NA,NA,1997-12-31T00:00:00Z,1997-12-31T00:00:00Z,4,4000,4001
2,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-01-02T00:00:00Z,1998-01-02T00:00:00Z,1,3000,3001
2,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-01-02T00:00:00Z,1998-01-02T00:00:00Z,1,4000,4001
2,15,19,NA,NA,NA,NA,NA,NA,9.4444447,18,251,0.51999998,2,25,NA,NA,NA,1998-01-03T00:00:00Z,1998-01-03T00:00:00Z,2,4000,4001
2,16,20,NA,NA,NA,NA,NA,NA,10.555555,18,251,1.75,2,25,NA,NA,NA,1998-01-03T00:00:00Z,1998-01-03T00:00:00Z,2,3000,3001
2,17,21,NA,NA,NA,NA,NA,NA,9.4444447,18,251,1.11,2,25,NA,NA,NA,1998-01-04T00:00:00Z,1998-01-04T00:00:00Z,2,3000,3001
2,18,22,NA,NA,NA,NA,NA,NA,10,18,251,0.2,2,25,NA,NA,NA,1998-01-04T00:00:00Z,1998-01-04T00:00:00Z,2,4000,4001
2,19,23,NA,NA,NA,NA,NA,NA,8.8888893,18,251,0.38,2,25,NA,NA,NA,1998-01-05T00:00:00Z,1998-01-05T00:00:00Z,2,4000,4001
2,20,24,NA,NA,NA,NA,NA,NA,10,18,251,1.38,2,25,NA,NA,NA,1998-01-05T00:00:00Z,1998-01-05T00:00:00Z,2,3000,3001
2,21,25,NA,NA,NA,NA,NA,NA,6.6666665,18,251,1.26,2,25,NA,NA,NA,1998-01-06T00:00:00Z,1998-01-06T00:00:00Z,2,3000,3001
2,22,26,NA,NA,NA,NA,NA,NA,8.333333,18,251,0.69,2,25,NA,NA,NA,1998-01-06T00:00:00Z,1998-01-06T00:00:00Z,2,4000,4001
2,23,27,NA,NA,NA,NA,NA,NA,8.8888893,18,251,1.78,2,25,NA,NA,NA,1998-01-07T00:00:00Z,1998-01-07T00:00:00Z,2,3000,3001
2,24,28,NA,NA,NA,NA,NA,NA,8.333333,18,251,1,2,25,NA,NA,NA,1998-01-07T00:00:00Z,1998-01-07T00:00:00Z,2,4000,4001
2,26,29,NA,NA,NA,NA,NA,NA,8.333333,18,251,1.38,2,25,NA,NA,NA,1998-01-08T00:00:00Z,1998-01-08T00:00:00Z,2,4000,4001
