projectDescriptionID,releaseFishID,releaseID,forkLength
2,1,325,60
2,2,327,NA
2,3,328,NA
2,4,329,NA
2,5,330,NA
2,6,339,NA
2,7,341,NA
2,8,344,NA
2,9,353,NA
2,10,367,NA
2,11,327,NA
2,12,327,NA
2,13,328,NA
2,14,328,NA
2,15,341,NA
2,16,342,NA
2,17,342,NA
2,18,329,NA
2,19,329,NA
2,20,363,NA
2,21,363,NA
2,22,363,NA
2,23,330,NA
2,24,343,NA
2,25,343,NA
2,26,331,NA
2,27,331,NA
2,28,331,NA
2,29,332,NA
2,30,332,NA
2,31,332,NA
2,32,332,NA
2,33,333,NA
2,34,333,NA
2,35,333,NA
2,36,334,NA
2,37,334,NA
2,38,334,NA
2,39,334,NA
2,40,334,NA
2,41,335,NA
2,42,335,NA
2,43,336,NA
2,44,336,NA
2,45,337,NA
2,46,337,NA
2,47,339,NA
2,48,339,NA
2,49,340,NA
2,50,340,NA
2,51,340,NA
2,52,340,NA
2,53,340,NA
2,54,344,NA
2,55,344,37
2,56,345,NA
2,57,345,NA
2,58,345,NA
2,59,345,NA
2,60,346,NA
2,61,346,NA
2,62,346,NA
2,63,347,NA
2,64,347,NA
2,65,347,NA
2,66,347,NA
2,67,348,NA
2,68,348,NA
2,69,348,NA
2,70,349,NA
2,71,349,NA
2,72,349,NA
2,73,349,NA
2,74,349,NA
2,75,350,NA
2,76,350,NA
2,77,350,NA
2,78,350,NA
2,79,350,NA
2,80,351,NA
2,81,351,NA
2,82,351,NA
2,83,351,NA
2,84,352,NA
2,85,352,NA
2,86,352,36
2,87,353,NA
2,88,353,NA
2,89,353,NA
2,90,354,NA
2,91,354,NA
2,92,355,NA
2,93,355,NA
2,94,355,NA
2,95,355,NA
2,96,356,NA
2,97,356,NA
2,98,356,34
2,99,356,35
2,100,356,37
2,101,357,NA
2,102,357,NA
2,103,357,NA
2,104,357,NA
2,105,357,NA
2,106,357,NA
2,107,357,NA
2,108,358,NA
2,109,358,NA
2,110,358,NA
2,111,358,NA
2,112,359,NA
2,113,359,NA
2,114,359,NA
2,115,360,NA
2,116,360,NA
2,117,360,NA
2,118,360,NA
2,119,360,NA
2,120,361,NA
2,121,361,39
2,122,361,31
2,123,361,39
2,124,362,NA
2,125,362,NA
2,126,362,NA
2,127,362,NA
2,128,363,NA
2,129,368,NA
2,130,368,NA
2,131,364,NA
2,132,364,NA
2,133,364,NA
2,134,364,NA
2,135,365,NA
2,136,365,NA
2,137,365,NA
2,138,365,NA
2,139,366,NA
2,140,366,NA
2,141,366,NA
2,142,366,NA
2,143,366,NA
2,144,366,NA
2,145,367,NA
2,146,367,NA
2,147,367,NA
2,148,369,NA
2,149,369,NA
2,150,370,NA
2,151,370,NA
2,152,371,NA
2,153,371,NA
2,154,372,NA
2,155,372,NA
2,156,372,NA
2,157,372,NA
2,158,373,NA
2,159,1,NA
2,164,429,NA
2,165,315,56
2,167,562,NA
2,168,182,NA
2,169,582,NA
2,170,627,NA
2,171,624,NA
2,172,655,NA
2,173,685,NA
2,174,479,35
2,175,752,NA
2,176,621,NA
2,177,622,NA
2,178,623,NA
2,179,356,38
2,180,356,35
2,181,356,38
2,182,356,36
2,183,356,38
2,184,356,35
2,185,356,39
2,186,356,39
2,187,356,38
2,188,356,36
2,189,356,36
2,190,356,37
2,191,356,37
2,192,356,33
2,193,356,36
2,194,356,30
2,195,356,32
2,196,356,45
2,197,356,40
2,198,356,40
2,199,356,41
2,200,356,41
2,201,356,34
2,202,356,35
2,203,356,31
2,204,356,35
2,205,356,37
2,206,356,46
2,207,356,38
2,208,356,35
2,209,356,36
2,210,356,37
2,211,356,38
2,212,356,34
2,213,356,34
2,214,356,36
2,215,356,38
2,216,356,54
2,217,356,38
2,218,356,36
2,219,356,37
2,220,356,43
2,221,356,35
2,222,356,36
2,223,356,37
2,224,356,36
2,225,356,37
2,226,184,37
2,227,184,34
2,228,184,37
2,229,184,37
2,230,184,36
2,231,184,37
2,232,184,35
2,233,184,35
2,234,184,32
2,235,184,35
2,236,184,39
2,237,184,36
2,238,184,37
2,239,184,35
2,240,184,37
2,241,184,36
2,242,184,36
2,243,184,35
2,244,184,37
2,245,184,34
