projectDescriptionID,trapVisitID,visitTime,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,turbidity
2,1,1997-12-22T10:40:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,2,1997-12-22T16:48:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,3,1997-12-23T11:40:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,NA,NA,1.5,Yes,NA,NA,8.888889,NA
2,4,1997-12-23T13:34:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,2917,NA,2.8,Yes,NA,NA,8.888889,NA
2,5,1997-12-26T13:56:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,6,1997-12-26T16:01:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,7,1997-12-27T09:56:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1826,NA,2.2,Yes,NA,NA,7.777778,NA
2,8,1997-12-27T12:17:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,2.2,Yes,NA,NA,7.777778,NA
2,9,1997-12-28T09:11:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1873,NA,1.6,Yes,NA,NA,8.333333,NA
2,10,1997-12-28T11:08:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2522,NA,1.5,Yes,NA,NA,7.777778,NA
2,11,1997-12-29T12:32:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1961,NA,1.4,Yes,NA,NA,8.888889,NA
2,12,1997-12-29T14:28:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2605,NA,2,Yes,NA,NA,8.333333,NA
2,13,1997-12-30T10:08:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1528,NA,1.5,Yes,NA,NA,8.333333,NA
2,14,1997-12-30T12:08:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2145,NA,2,Yes,NA,NA,8.888889,NA
2,15,1997-12-31T10:24:00Z,Eye Riffle,Eye riffle_north,End trapping,Processed fish,Not recorded,1599,NA,1.5,Yes,NA,NA,8.888889,NA
2,16,1997-12-31T12:24:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,2495,NA,1.5,Yes,NA,NA,8.888889,NA
2,17,1998-01-02T11:53:00Z,Eye Riffle,Eye riffle_north,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,18,1998-01-02T12:53:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,19,1998-01-03T09:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2379,NA,2.1,Yes,NA,NA,9.444445,NA
2,20,1998-01-03T12:56:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2367,NA,1.8,Yes,NA,NA,10.55556,NA
2,21,1998-01-04T09:18:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2187,NA,2,Yes,NA,NA,9.444445,NA
2,22,1998-01-04T12:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,2.3,Yes,NA,NA,10,NA
2,23,1998-01-05T11:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,2.6,Yes,NA,NA,8.888889,NA
2,24,1998-01-05T15:38:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2436,NA,1.6,Yes,NA,NA,10,NA
2,25,1998-01-06T11:16:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1806,NA,1.8,Yes,NA,NA,6.666667,NA
2,26,1998-01-06T14:16:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,2.8,Yes,NA,NA,8.333333,NA
2,27,1998-01-07T10:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1978,NA,1.6,Yes,NA,NA,8.888889,NA
2,28,1998-01-07T12:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3008,NA,2.5,Yes,NA,NA,8.333333,NA
2,29,1998-01-08T11:45:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3370,NA,2.4,Yes,NA,NA,8.333333,NA
2,30,1998-01-08T14:07:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2353,NA,1.2,Yes,NA,NA,NA,NA
2,31,1998-01-09T12:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Trap functioning normally,2097,NA,1.6,Yes,NA,NA,9.444445,NA
2,32,1998-01-09T14:28:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,3612,NA,2.5,Yes,NA,NA,10,NA
2,33,1998-01-10T09:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2054,NA,1.8,Yes,NA,NA,9.444445,NA
2,34,1998-01-10T11:25:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2769,NA,1.8,Yes,NA,NA,9.722222,NA
2,35,1998-01-11T09:29:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2481,NA,2.1,Yes,NA,NA,9.722222,NA
2,36,1998-01-11T12:05:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1875,NA,2.3,Yes,NA,NA,10.55556,NA
2,37,1998-01-12T08:39:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2460,NA,2.3,Yes,NA,NA,10.27778,NA
2,38,1998-01-12T11:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1561,NA,NA,Yes,NA,NA,10.83333,NA
2,39,1998-01-13T10:01:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,4.5,Yes,NA,NA,10.55556,NA
2,40,1998-01-13T11:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,3164,NA,1.8,Yes,NA,NA,10,NA
2,41,1998-01-14T09:22:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1367,NA,4,Yes,NA,NA,10.27778,NA
2,42,1998-01-14T10:43:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2398,NA,2,Yes,NA,NA,10,NA
2,43,1998-01-14T15:05:00Z,Live Oak,Live Oak,End trapping,No fish were caught,Not recorded,NA,NA,NA,Yes,NA,NA,NA,NA
2,44,1998-01-15T11:00:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,45,1998-01-15T11:59:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,3254,NA,2.5,Yes,NA,NA,10,NA
2,46,1998-01-15T16:40:00Z,Live Oak,Live Oak,End trapping,Processed fish,Not recorded,1848,NA,6.8,Yes,NA,NA,11.11111,NA
2,47,1998-01-16T11:42:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2629,NA,1.9,Yes,NA,NA,10.55556,NA
2,48,1998-01-17T10:51:00Z,Live Oak,Live Oak,Start trap & begin trapping,Not applicable,Trap not in service,NA,NA,NA,Yes,NA,NA,NA,NA
2,49,1998-01-17T11:40:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,NA,NA,1.9,Yes,NA,NA,11.11111,NA
2,50,1998-01-18T10:18:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2333,NA,1.9,Yes,NA,NA,10,NA
2,51,1998-01-18T13:44:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,1591,NA,6,Yes,NA,NA,10.55556,NA
2,52,1998-01-19T09:20:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2946,NA,1.9,Yes,NA,NA,9.722222,NA
2,53,1998-01-19T12:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,8776,NA,6.8,Yes,NA,NA,10,NA
2,54,1998-01-20T09:47:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2730,NA,1.5,Yes,NA,NA,9.166667,NA
2,55,1998-01-20T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4556,NA,6.5,Yes,NA,NA,9.722222,NA
2,56,1998-01-21T12:32:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1952,NA,1.1,Yes,NA,NA,9.444445,NA
2,57,1998-01-21T15:15:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,2297,NA,4.3,Yes,NA,NA,NA,NA
2,58,1998-01-22T11:31:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1472,NA,1.3,Yes,NA,NA,9.722222,NA
2,59,1998-01-22T14:33:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,NA,NA,4.3,Yes,NA,NA,9.722222,NA
2,60,1998-01-23T11:22:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1475,NA,1.2,Yes,NA,NA,7.222222,NA
2,61,1998-01-23T13:56:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,4802,NA,3.7,Yes,NA,NA,9.444445,NA
2,62,1998-01-24T11:15:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1456,NA,0.6,Yes,NA,NA,9.444445,NA
2,63,1998-01-24T13:34:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5230,NA,3.9,Yes,NA,NA,9.444445,NA
2,64,1998-01-25T09:06:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,1336,NA,1.2,Yes,NA,NA,9.166667,NA
2,65,1998-01-25T12:10:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,144,NA,3.7,Yes,NA,NA,9.722222,NA
2,66,1998-01-26T11:13:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2077,NA,1.5,Yes,NA,NA,9.444445,NA
2,67,1998-01-26T14:26:00Z,Live Oak,Live Oak,Continue trapping,Processed fish,Not recorded,5816,NA,4.2,Yes,NA,NA,9.722222,NA
2,68,1998-01-27T09:25:00Z,Eye Riffle,Eye riffle_north,Continue trapping,Processed fish,Not recorded,2027,NA,1.9,Yes,NA,NA,9.444445,NA
