projectDescriptionID,releaseID,releasePurposeID,markedTaxonID,markedRunID,markedLifeStageID,markedFishOriginID,sourceOfFishSiteID,releaseSiteID,releaseSubSiteID,nMortWhileHandling,nMortAtCheck,nReleased,releaseTime,releaseLightConditionID,testDays,includeTestID,appliedMarkTypeID,appliedMarkColorID,appliedMarkPositionID,appliedMarkCode
0,0,252,252,251,251,253,252,252,NA,NA,NA,0,2000-01-01T00:00:00Z,NA,0,2,NA,NA,NA,NA
0,255,252,252,251,251,253,252,252,NA,NA,NA,0,2000-01-01T00:00:00Z,NA,0,2,NA,NA,NA,NA
2,0,252,252,251,251,253,252,252,NA,NA,NA,0,2000-01-01T00:00:00Z,NA,0,2,NA,NA,NA,NA
2,1,1,161980,3,251,2,251,44000,44007,NA,NA,3181,1999-02-04T17:00:00Z,NA,2,2,2,252,1,NA
2,2,1,161980,251,NA,253,NA,44000,44000,NA,NA,1091,1999-02-16T17:00:00Z,NA,2,1,2,252,1,NA
2,3,1,161980,251,NA,253,NA,44000,44000,NA,NA,990,1999-03-16T17:00:00Z,NA,3,1,3,1,21,NA
2,4,1,161980,251,NA,253,NA,45000,45000,NA,NA,3151,1999-02-25T17:00:00Z,NA,4,1,2,252,1,NA
2,5,1,161980,251,NA,253,NA,45000,45000,NA,NA,999,1999-03-19T17:00:00Z,NA,4,1,3,1,21,NA
2,6,1,161980,251,NA,253,NA,45000,45000,NA,NA,999,1999-03-23T17:00:00Z,NA,3,1,3,1,21,NA
2,7,1,161980,251,NA,253,NA,44000,44000,NA,NA,1000,1999-12-31T17:00:00Z,NA,3,1,3,1,21,NA
2,8,1,161980,251,NA,253,NA,44000,44000,NA,NA,1000,2000-01-04T17:00:00Z,NA,3,1,3,1,21,NA
2,9,1,161980,251,NA,253,NA,44000,44000,NA,NA,1123,2000-01-11T17:00:00Z,NA,3,1,3,1,21,NA
2,10,1,161980,251,NA,253,NA,44000,44000,NA,NA,895,2000-01-18T17:00:00Z,NA,3,1,3,1,21,NA
2,11,1,161980,251,NA,253,NA,44000,44000,NA,NA,1025,2000-01-24T17:00:00Z,NA,4,1,3,1,21,NA
2,12,1,161980,251,NA,253,NA,44000,44000,NA,NA,940,2000-01-31T17:00:00Z,NA,3,1,3,1,21,NA
2,13,1,161980,251,NA,253,NA,44000,44000,NA,NA,978,2000-02-07T17:00:00Z,NA,3,1,3,1,21,NA
2,14,1,161980,251,NA,253,NA,44000,44000,NA,NA,410,2000-02-28T17:00:00Z,NA,2,1,3,1,21,NA
2,15,1,161980,251,NA,253,NA,45000,45000,NA,NA,999,1999-12-21T17:00:00Z,NA,2,1,3,1,21,NA
2,16,1,161980,251,NA,253,NA,45000,45000,NA,NA,990,2000-01-05T17:00:00Z,NA,2,1,3,1,21,NA
2,17,1,161980,251,NA,253,NA,45000,45000,NA,NA,1167,2000-01-11T17:00:00Z,NA,3,1,3,1,21,NA
2,18,1,161980,251,NA,253,NA,45000,45000,NA,NA,959,2000-01-18T17:00:00Z,NA,2,1,3,1,21,NA
2,19,1,161980,251,NA,253,NA,45000,45000,NA,NA,1093,2000-01-31T17:00:00Z,NA,2,1,3,1,21,NA
2,20,1,161980,251,NA,253,NA,45000,45000,NA,NA,930,2000-02-07T17:00:00Z,NA,2,1,3,1,21,NA
2,21,1,161980,251,NA,253,NA,44000,44000,NA,NA,549,2001-01-08T17:00:00Z,NA,4,1,3,1,21,NA
2,22,1,161980,251,NA,253,NA,44000,44000,NA,NA,470,2001-01-24T17:00:00Z,NA,3,1,3,1,21,NA
2,23,1,161980,251,NA,253,NA,44000,44000,NA,NA,485,2001-02-05T17:00:00Z,NA,2,1,3,16,251,NA
2,24,1,161980,251,NA,253,NA,44000,44000,NA,NA,863,2001-02-15T17:00:00Z,NA,2,1,3,15,251,NA
2,25,1,161980,251,NA,253,NA,44000,44000,NA,NA,340,2001-02-20T17:00:00Z,NA,7,1,3,16,251,NA
